,date,windspeed
414,2014-06-07T23:59:00,2.8
415,2014-06-08T23:59:00,2.8
416,2014-06-09T23:59:00,4.2
417,2014-06-10T23:59:00,3.4
418,2014-06-11T23:59:00,7.1
419,2014-06-12T23:59:00,5.5
420,2014-06-13T23:59:00,3.5
421,2014-06-14T23:59:00,4.7
422,2014-06-15T23:59:00,4.2
423,2014-06-16T23:59:00,2.8
424,2014-06-17T23:59:00,4.0
425,2014-06-18T23:59:00,5.9
426,2014-06-19T23:59:00,3.9
427,2014-06-20T23:59:00,4.4
428,2014-06-21T23:59:00,4.8
429,2014-06-22T23:59:00,2.0
430,2014-06-23T23:59:00,2.6
431,2014-06-24T23:59:00,5.0
432,2014-06-25T23:59:00,4.8
433,2014-06-26T23:59:00,4.7
434,2014-06-27T23:59:00,3.0
435,2014-06-28T23:59:00,2.9
436,2014-06-29T23:59:00,2.7
437,2014-06-30T23:59:00,2.7
438,2014-07-01T23:59:00,5.1
439,2014-07-02T23:59:00,3.7
440,2014-07-03T23:59:00,2.8
441,2014-07-04T23:59:00,5.4
442,2014-07-05T23:59:00,6.8
443,2014-07-06T23:59:00,4.9
444,2014-07-07T23:59:00,5.7
445,2014-07-08T23:59:00,4.6
446,2014-07-09T23:59:00,4.3
447,2014-07-10T23:59:00,2.9
448,2014-07-11T23:59:00,4.0
449,2014-07-12T23:59:00,3.3
450,2014-07-13T23:59:00,5.2
451,2014-07-14T23:59:00,4.5
452,2014-07-15T23:59:00,2.7
453,2014-07-16T23:59:00,3.7
454,2014-07-17T23:59:00,4.0
455,2014-07-18T23:59:00,4.1
456,2014-07-19T23:59:00,5.2
457,2014-07-20T23:59:00,4.0
458,2014-07-21T23:59:00,1.9
459,2014-07-22T23:59:00,3.7
460,2014-07-23T23:59:00,5.0
461,2014-07-24T23:59:00,4.8
462,2014-07-25T23:59:00,4.2
463,2014-07-26T23:59:00,4.2
464,2014-07-27T23:59:00,3.3
465,2014-07-28T23:59:00,7.3
466,2014-07-29T23:59:00,5.0
467,2014-07-30T23:59:00,2.8
468,2014-07-31T23:59:00,3.3
469,2014-08-01T23:59:00,3.7
470,2014-08-02T23:59:00,6.1
471,2014-08-03T23:59:00,2.2
472,2014-08-04T23:59:00,3.4
473,2014-08-05T23:59:00,2.4
474,2014-08-06T23:59:00,3.0
475,2014-08-07T23:59:00,4.2
476,2014-08-08T23:59:00,3.1
477,2014-08-09T23:59:00,2.9
478,2014-08-10T23:59:00,2.9
479,2014-08-11T23:59:00,3.1
480,2014-08-12T23:59:00,5.8
481,2014-08-13T23:59:00,5.5
482,2014-08-14T23:59:00,4.6
483,2014-08-15T23:59:00,5.4
484,2014-08-16T23:59:00,4.0
485,2014-08-17T23:59:00,3.6
486,2014-08-18T23:59:00,4.5
487,2014-08-19T23:59:00,3.9
488,2014-08-20T23:59:00,2.2
489,2014-08-21T23:59:00,3.5
490,2014-08-22T23:59:00,4.7
491,2014-08-23T23:59:00,4.6
492,2014-08-24T23:59:00,3.2
493,2014-08-25T23:59:00,2.6
494,2014-08-26T23:59:00,2.3
495,2014-08-27T23:59:00,3.3
496,2014-08-28T23:59:00,5.4
497,2014-08-29T23:59:00,3.3
498,2014-08-30T23:59:00,2.2
499,2014-08-31T23:59:00,3.3
500,2014-09-01T23:59:00,3.0
501,2014-09-02T23:59:00,5.3
502,2014-09-03T23:59:00,3.4
503,2014-09-04T23:59:00,2.7
504,2014-09-05T23:59:00,3.0
