,date,windspeed
8339,2014-09-24T23:59:00,5.6
8373,2014-09-25T23:59:00,8.2
8398,2014-09-26T23:59:00,4.3
8423,2014-09-27T23:59:00,2.5
8448,2014-09-28T23:59:00,1.8
8473,2014-09-29T23:59:00,0.7
8519,2014-09-30T23:59:00,4.7
8563,2014-10-01T23:59:00,6.1
8593,2014-10-02T23:59:00,4.7
8624,2014-10-03T23:59:00,4.2
8677,2014-10-04T23:59:00,6.7
8702,2014-10-05T23:59:00,5.6
8727,2014-10-06T23:59:00,3.9
8753,2014-10-07T23:59:00,4.7
8787,2014-10-08T23:59:00,7.1
8812,2014-10-09T23:59:00,5.6
8837,2014-10-10T23:59:00,2.2
8882,2014-10-11T23:59:00,4.5
8907,2014-10-12T23:59:00,2.6
8946,2014-10-13T23:59:00,2.6
8974,2014-10-14T23:59:00,4.7
9025,2014-10-15T23:59:00,5.1
9075,2014-10-16T23:59:00,4.0
9100,2014-10-17T23:59:00,4.5
9125,2014-10-18T23:59:00,6.3
9150,2014-10-19T23:59:00,7.7
9175,2014-10-20T23:59:00,3.9
9217,2014-10-21T23:59:00,3.6
9273,2014-10-22T23:59:00,9.4
9316,2014-10-23T23:59:00,7.6
9341,2014-10-24T23:59:00,4.4
9366,2014-10-25T23:59:00,5.7
9391,2014-10-26T23:59:00,7.8
9416,2014-10-27T23:59:00,5.2
9441,2014-10-28T23:59:00,2.8
9466,2014-10-29T23:59:00,4.8
9491,2014-10-30T23:59:00,3.5
9518,2014-10-31T23:59:00,6.4
9547,2014-11-01T23:59:00,9.0
9573,2014-11-02T23:59:00,10.8
9598,2014-11-03T23:59:00,5.9
9623,2014-11-04T23:59:00,4.7
9648,2014-11-05T23:59:00,4.4
9702,2014-11-06T23:59:00,3.1
9729,2014-11-07T23:59:00,7.3
9754,2014-11-08T23:59:00,6.0
9779,2014-11-09T23:59:00,2.7
9804,2014-11-10T23:59:00,2.5
9843,2014-11-11T23:59:00,3.4
9896,2014-11-12T23:59:00,2.7
9928,2014-11-13T23:59:00,3.6
9961,2014-11-14T23:59:00,7.2
9986,2014-11-15T23:59:00,3.6
10011,2014-11-16T23:59:00,3.8
10091,2014-11-17T23:59:00,3.7
10116,2014-11-18T23:59:00,10.0
10141,2014-11-19T23:59:00,7.1
10166,2014-11-20T23:59:00,7.2
10191,2014-11-21T23:59:00,7.7
